"sku","title","image","url","platform","connect","price","uncertainty_problem","query"
"DCBR0N-A900IB4CQ","HyRead Gaze Pro Note C 7.8吋彩色電子紙閱讀器(殼套組)","https://cs.ecimg.tw/items/DCBR0NA900IB4CQ/000001_1743992442.png","https://24h.pchome.com.tw/prod/DCBR0N-A900IB4CQ","pchome","14074213","16180.00","0","reader"
"DCBR0N-A900HFIVZ","HyRead Gaze Mini+ 6吋電子書閱讀器 白32G(殼套組B)","https://cs.ecimg.tw/items/DCBR0NA900HFIVZ/000001_1755483223.jpg","https://24h.pchome.com.tw/prod/DCBR0N-A900HFIVZ","pchome","12697413","7580.00","1","reader"
"DCBR0N-A900HC541","HyRead Gaze Mini+ 6吋電子紙閱讀器","https://cs.ecimg.tw/items/DCBR0NA900HC541/000001_1731373940.png","https://24h.pchome.com.tw/prod/DCBR0N-A900HC541","pchome","12697413","6990.00","0","reader"
"DCBR06-A900IYV2B","HyRead Gaze Mini+ 6吋電子紙閱讀器(石墨綠) 側翻套組","https://cs.ecimg.tw/items/DCBR06A900IYV2B/000001_1750736538.jpg","https://24h.pchome.com.tw/prod/DCBR06-A900IYV2B","pchome","12697413","7580.00","1","reader"
"DCBR0N-A900HFIWJ","HyRead Gaze Mini+ 6吋電子書閱讀器 白32G(殼套組A)","https://cs.ecimg.tw/items/DCBR0NA900HFIWJ/000001_1740361947.png","https://24h.pchome.com.tw/prod/DCBR0N-A900HFIWJ","pchome","12697413","7480.00","1","reader"
"DCBR0N-A900IFC9S","HyRead Gaze Mini+ 6吋電子紙閱讀器(淺蔥青)","https://cs.ecimg.tw/items/DCBR0NA900IFC9S/000001_1741327500.png","https://24h.pchome.com.tw/prod/DCBR0N-A900IFC9S","pchome","12697413","6990.00","0","reader"
"DCBR0N-A900ITFFR","HyRead Gaze Mini+ 6吋電子紙閱讀器 (櫻花粉)","https://cs.ecimg.tw/items/DCBR0NA900ITFFR/000001_1747208630.jpg","https://24h.pchome.com.tw/prod/DCBR0N-A900ITFFR","pchome","12697413","7290.00","0","reader"
"DCBR06-A900IX392","HyRead Gaze Mini + 6吋電子紙閱讀器 (石墨綠)","https://cs.ecimg.tw/items/DCBR06A900IX392/000001_1749536760.jpg","https://24h.pchome.com.tw/prod/DCBR06-A900IX392","pchome","12697413","6990.00","0","reader"
"DCBR06-A900IYV3J","HyRead Gaze Mini+ 6吋電子紙閱讀器(石墨綠) 收納套組","https://cs.ecimg.tw/items/DCBR06A900IYV3J/000001_1750736677.jpg","https://24h.pchome.com.tw/prod/DCBR06-A900IYV3J","pchome","12697413","7480.00","1","reader"
"DCBR0N-A900IB4CQ","HyRead Gaze Pro Note C 7.8吋彩色電子紙閱讀器(殼套組)","https://cs.ecimg.tw/items/DCBR0NA900IB4CQ/000001_1743992442.png","https://24h.pchome.com.tw/prod/DCBR0N-A900IB4CQ","pchome","12697413","16180.00","1","reader"
