"sku","title","image","url","platform","connect","price","query"
"DCBR0F-A900HCLLE","Kobo Libra Colour 7吋彩色電子書閱讀器| 白32GB","https://cs.ecimg.tw/items/DCBR0FA900HCLLE/000001_1757554935.png","https://24h.pchome.com.tw/prod/DCBR0F-A900HCLLE","pchome",,"7699.00","reader"
"DCBR0F-A900HCLMS","Kobo Libra Colour 7吋彩色電子書閱讀器| 黑32GB","https://cs.ecimg.tw/items/DCBR0FA900HCLMS/000001_1757555019.png","https://24h.pchome.com.tw/prod/DCBR0F-A900HCLMS","pchome",,"7699.00","reader"
"DCBR0F-A900HCLHC","Kobo Clara BW 6吋電子書閱讀器 | 黑16GB","https://cs.ecimg.tw/items/DCBR0FA900HCLHC/000001_1757555257.png","https://24h.pchome.com.tw/prod/DCBR0F-A900HCLHC","pchome",,"4899.00","reader"
"DCBR0E-A900J5LX6","Kobo 樂天Clara Colour 6吋彩色電子書閱讀器 白。16GB","https://cs.ecimg.tw/items/DCBR0EA900J5LX6/000001_1758703014.jpg","https://24h.pchome.com.tw/prod/DCBR0E-A900J5LX6","pchome",,"5599.00","reader"
"DCBR1Y-A900J1YXB","博客來 BooksPad 7.8吋閱讀器三件套 (雲朵白64G+灰殼+黑筆)","https://cs.ecimg.tw/items/DCBR1YA900J1YXB/000001_1753699071.jpg","https://24h.pchome.com.tw/prod/DCBR1Y-A900J1YXB","pchome",,"8999.00","reader"
"DCBR1Y-A900J1Z5M","博客來 BooksPad 7.8吋彩色電子書閱讀器 (星空黑)64G","https://cs.ecimg.tw/items/DCBR1YA900J1Z5M/000001_1753699533.jpg","https://24h.pchome.com.tw/prod/DCBR1Y-A900J1Z5M","pchome",,"7299.00","reader"
"DCBR1Y-A900J1Z58","博客來 BooksPad 7.8吋彩色電子書閱讀器 (春櫻粉) 64G","https://cs.ecimg.tw/items/DCBR1YA900J1Z58/000001_1753699617.jpg","https://24h.pchome.com.tw/prod/DCBR1Y-A900J1Z58","pchome",,"7299.00","reader"
"DCBR1L-A900GR2O3","Pubu Pubook SE 7.8吋電子閱讀器開放式系統 (附贈皮套)","https://cs.ecimg.tw/items/DCBR1LA900GR2O3/000001_1730027958.png","https://24h.pchome.com.tw/prod/DCBR1L-A900GR2O3","pchome",,"7621.00","reader"
"DCBR0R-A900IH64G","MEEBOOK M7 6.8 吋電子閱讀器","https://cs.ecimg.tw/items/DCBR0RA900IH64G/000001_1742372454.jpg","https://24h.pchome.com.tw/prod/DCBR0R-A900IH64G","pchome",,"5499.00","reader"
"DCBR1Y-A900J1YWM","博客來 BooksPad 7.8吋閱讀器三件套 (春櫻粉64G+摩卡殼+黑筆)","https://cs.ecimg.tw/items/DCBR1YA900J1YWM/000001_1753699320.jpg","https://24h.pchome.com.tw/prod/DCBR1Y-A900J1YWM","pchome",,"8999.00","reader"
"DCBR0E-1900J5JNE","Kobo Libra Colour 7吋彩色電子書閱讀器(白32GB) + 原廠磁感應保護殼(附筆槽)奶茶米","https://cs.ecimg.tw/items/DCBR0E1900J5JNE/000001_1757564615.jpg","https://24h.pchome.com.tw/prod/DCBR0E-1900J5JNE","pchome",,"8899.00","reader"
"DCBR0F-A900HCLIV","Kobo Clara Colour 6吋彩色電子書閱讀器 | 黑16GB","https://cs.ecimg.tw/items/DCBR0FA900HCLIV/000001_1757555167.png","https://24h.pchome.com.tw/prod/DCBR0F-A900HCLIV","pchome",,"5599.00","reader"
"DCBR0E-1900J5JOA","Kobo Libra Colour 7吋彩色電子書閱讀器(白32GB)+原廠磁感應保護殼基本款(鼠尾草綠)","https://cs.ecimg.tw/items/DCBR0E1900J5JOA/000001_1757572930.jpg","https://24h.pchome.com.tw/prod/DCBR0E-1900J5JOA","pchome",,"8598.00","reader"
"DCBR0R-A900I425O","贈保護套 悅讀 A8-CR 6吋彩色墨水屏電子書閱讀器 2+32G","https://cs.ecimg.tw/items/DCBR0RA900I425O/000001_1732612688.jpg","https://24h.pchome.com.tw/prod/DCBR0R-A900I425O","pchome",,"4488.00","reader"
"DCBR0E-1900J81PL","Kobo 樂天Clara Colour 6吋彩色電子書閱讀器 白。16GB+原廠磁感應保護殼 (迷霧綠)","https://cs.ecimg.tw/items/DCBR0E1900J81PL/000001_1757472186.jpg","https://24h.pchome.com.tw/prod/DCBR0E-1900J81PL","pchome",,"6498.00","reader"
"DCBR00-A900IRFRX","BOOX 文石 Go Color 7 (Gen II) 彩色電子閱讀器 - 黑色","https://cs.ecimg.tw/items/DCBR00A900IRFRX/000001_1749606296.jpg","https://24h.pchome.com.tw/prod/DCBR00-A900IRFRX","pchome",,"8280.00","reader"
