e1,e2,label,group_id,platform,query
SONY 索尼 WH-1000XM5 無線降噪耳機 公司貨,【SONY 索尼】WH-1000XM5 主動式降噪旗艦 藍芽耳機(頂級降噪 極真音質 配戴舒適),1,10202358,pchome,sonyheadphones
BOOX 文石 Go Color 7 (Gen II) 彩色電子閱讀器 - 黑色,BOOX 文石 Go 7 吋電子閱讀器 - 黑色,0,13985433,pchome,reader
Logitech 羅技 MK345 無線滑鼠鍵盤組,Logitech 羅技 MK270R 無線滑鼠鍵盤組,0,12911724,pchome,logitechkeyboard
Dyson 戴森 V12 SV46 Detect Slim Fluffy 輕量智能吸塵器(銀灰)【福利品】,【dyson 戴森】V12 Detect Slim Fluffy SV46 強勁輕量智慧無線吸塵器 光學偵測(升級HEPA過濾),1,11387690,pchome,dysonvacuumcleaner
Logitech 羅技 M235n 無線滑鼠 藍色,Logitech 羅技 M170 無線滑鼠 玫瑰粉,0,12488036,pchome,logitechmouse
Dyson 戴森 V8 SV25 新一代無線吸塵器 升級版【福利品】,Dyson 戴森 V8 Motorhead SV25 最新一代無線吸塵器 升級版【福利品】,0,13716679,pchome,dysonvacuumcleaner
Ultra Flair USB 3.0 隨身碟 64GB (公司貨),Ultra Flair USB 3.0 隨身碟 32GB (公司貨),0,8452085,pchome,usb
SONY 索尼 WH-1000XM6 旗艦無線降噪耳機 (公司貨 保固12+6個月),SONY 索尼 LinkBuds Fit 真無線降噪耳機 WF-LS910N (公司貨 保固12+6個月),0,14180915,pchome,sonyheadphones
HITACHI 日立 《精品冷暖》變頻分離式冷氣 RAS-28YSP_RAC-28YP,HITACHI 日立 《精品冷暖》變頻分離式冷氣 RAS-40YSP_RAC-40YP,0,10945151,pchome,hitachiairconditioner
S004淨水器專用替換濾心(3US-F004-5),【3M】S004淨水器濾心+樹脂軟水濾心4入超值5件組(3US-F004-5 *1+3RF-F001-5 *4),1,5771788,pchome,3mwaterpurifier
Logitech 羅技 MX Vertical 垂直滑鼠,Logitech 羅技 MX Anywhere 2S無線滑鼠,0,7540711,pchome,logitechmouse
