"Sku","Title","Image","Url","Seller","Platform","Connect","Price"
"12485004","【ZOTAC 索泰】GAMING GeForce RTX 4070 Ti SUPER Trinity Black Edition 16GB GDDR6X 顯示卡(黑色)","[https://i1.momoshop.com.tw/1706245331/goodsimg/0012/485/004/12485004_OR_m.webp, https://i1.momoshop.com.tw/1706245331/goodsimg/0012/485/004/12485004_L_m.webp]","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12485004","None","momo","DRADLX-A900H4N7U","null"
"12503165","【ZOTAC 索泰】GAMING GeForce RTX 4080 SUPER Trinity OC White Edition 16GB GDDR6X 顯示卡(白色)","[https://i4.momoshop.com.tw/1710579312/goodsimg/0012/503/165/12503165_OR_m.webp, https://i4.momoshop.com.tw/1710579312/goodsimg/0012/503/165/12503165_L_m.webp]","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12503165","None","momo","DRADLX-A900H4N6U","null"
"8409615","【Crucial 美光】X6 2TB Type-C USB 3.2 Gen 2 外接式ssd固態硬碟(CT2000X6SSD9)","[https://i3.momoshop.com.tw/1692989721/goodsimg/0008/409/615/8409615_OR_m.webp, https://i4.momoshop.com.tw/1692989721/goodsimg/0008/409/615/8409615_L_m.webp, https://i3.momoshop.com.tw/1692989721/goodsimg/0008/409/615/8409615_L1_m.webp]","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8409615","None","momo","DRAA5K-A900HJELY","null"
"12765328","【Crucial 美光】X6 1TB Type-C USB 3.2 Gen 2 外接式ssd固態硬碟(CT1000X6SSD9)","[https://i2.momoshop.com.tw/1715670554/goodsimg/0012/765/328/12765328_OR_m.webp, https://i3.momoshop.com.tw/1715670554/goodsimg/0012/765/328/12765328_L_m.webp, https://i4.momoshop.com.tw/1715670554/goodsimg/0012/765/328/12765328_L1_m.webp, https://i1.momoshop.com.tw/1715670554/goodsimg/0012/765/328/12765328_L2_m.webp]","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12765328","None","momo","DRAA5K-A900B5FO6","null"
"13166301","【Crucial 美光】X6 1TB Type-C USB 3.2 Gen 2 外接式ssd固態硬碟(CT1000X6SSD9)","[https://i1.momoshop.com.tw/1724210234/goodsimg/0013/166/301/13166301_OR_m.webp, https://i4.momoshop.com.tw/1724210234/goodsimg/0013/166/301/13166301_L_m.webp, https://i3.momoshop.com.tw/1724210234/goodsimg/0013/166/301/13166301_L1_m.webp, https://i4.momoshop.com.tw/1724210234/goodsimg/0013/166/301/13166301_L2_m.webp]","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13166301","None","momo","DRAA5K-A900B5FO6","null"
"11274028","【Crucial 美光】X6 1TB Type-C USB 3.2 Gen 2 外接式ssd固態硬碟(CT1000X6SSD9)","[https://i2.momoshop.com.tw/1721311318/goodsimg/0011/274/028/11274028_OR_m.webp, https://i4.momoshop.com.tw/1721311318/goodsimg/0011/274/028/11274028_L_m.webp]","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11274028","None","momo","DRAA5K-A900B5FO6","null"
"8349091","【WD 威騰】My Book 16TB 3.5吋 外接硬碟(WDBBGB0160HBK-SESN)","[https://i1.momoshop.com.tw/1692985813/goodsimg/0008/349/091/8349091_OR_m.webp, https://i2.momoshop.com.tw/1692985813/goodsimg/0008/349/091/8349091_L_m.webp]","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8349091","None","momo","DRAA5N-A900H079C","null"
"TP00025840000117","【WD 威騰】My Book 16TB 3.5吋外接硬碟(WDBBGB0160HBK-SESN)","[https://i5.momoshop.com.tw/1715956889/goodsimg/TP000/2584/0000/117/TP00025840000117_O_m.jpg, https://i5.momoshop.com.tw/1715956889/goodsimg/TP000/2584/0000/117/TP00025840000117_L_m.jpg, https://i5.momoshop.com.tw/1715956889/goodsimg/TP000/2584/0000/117/TP00025840000117_L1_m.jpg, https://i5.momoshop.com.tw/1715956889/goodsimg/TP000/2584/0000/117/TP00025840000117_L2_m.jpg, https://i5.momoshop.com.tw/1715956889/goodsimg/TP000/2584/0000/117/TP00025840000117_L3_m.jpg, https://i5.momoshop.com.tw/1715956889/goodsimg/TP000/2584/0000/117/TP00025840000117_L4_m.jpg, https://i5.momoshop.com.tw/1715956889/goodsimg/TP000/2584/0000/117/TP00025840000117_L5_m.jpg]","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=TP00025840000117","None","momo","DRAA5N-A900H079C","null"
"TP00002460000596","【WD 威騰】My Book 16TB 3.5吋外接硬碟WDBBGB0160HBK-SESN","[https://i5.momoshop.com.tw/1726075044/goodsimg/TP000/0246/0000/596/TP00002460000596_O_m.jpg, https://i5.momoshop.com.tw/1726075044/goodsimg/TP000/0246/0000/596/TP00002460000596_L_m.jpg]","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=TP00002460000596","None","momo","DRAA5N-A900H079C","null"
"10547475","【WD 威騰】My Book 16TB 3.5吋 外接硬碟(WDBBGB0160HBK-SESN)","[https://i3.momoshop.com.tw/1692381645/goodsimg/0010/547/475/10547475_OR_m.webp, https://i2.momoshop.com.tw/1692381645/goodsimg/0010/547/475/10547475_L_m.webp]","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10547475","None","momo","DRAA5N-A900H079C","null"
