e1,e2,label,group_id,platform
【Crucial 美光】X9 Pro 2TB Type-C USB 3.2 Gen 2 外接式ssd固態硬碟(CT2000X9PROSSD9),【南紡購物中心】  Crucial  X9 Pro 2TB 2T SSD 1050MB/s CT2000X9PROSSD9 外接行動固態硬碟,1,DSBC7E-A900HIO06,momo
【EVE LOM】全能深層潔淨霜 100ml(內附1條瑪姿林布 卸妝膏 平行輸入),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DDADG0-A900G7WJB,momo
【Nikon 尼康】Prostaff P3 10x42(台灣總代理公司貨保固),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DGCB71-A900H40V7,momo
【SHISEIDO 資生堂國際櫃】資生堂保濕潔膚皂125ml(所有膚質皆適用),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DDAD0G-A900F3DY8,momo
【LA MER 海洋拉娜】濃萃修復眼霜 15ml-國際航空版,【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DDADEF-A900BZL5C,momo
【Hagibis】Switch便攜底座擴充器Hdmi+Usb3.0+Rj45網口+Pd供電(Swc04),Hagibis Switch便攜底座擴充器Hdmi+Usb3.0+Rj45網口+Pd供電(白色）,1,DGBJ8R-A900FW12N,import
【Mio】原廠後視鏡短支架 C/6/7/8系列(適用C335 C430 C450 C582 C580 790 791S 856 887 890),Mio 原廠 後視鏡 短支架,1,QCAB6G-A9009S58A,import
【Panasonic 國際牌】能源效率一級325公升玻璃鏡面雙門電冰箱(NR-B331VG-X1),325公升一級能效雙門變頻冰箱 NR-B331VG-X1《含基本運送+拆箱定位+回收舊機》,1,DPACHE-A900GJOR7,momo
Mio 原廠 黏貼式 短支架,Mio 原廠 黏貼式 短支架,0,10018297,import
【SONY 索尼】PS5 DualSense 原廠無線控制器(星光藍),PS5 DualSense 無線控制器 (ps5專用手把/搖桿) -鈷藍色,0,DGBJGB-A900GFD62,momo
【808 Audio】Urban Typec Hub 二合一轉接器 Usb/3.5Mm,【808 Audio】Urban 二合一Typec Hub集線器(Usb3.2/3.5Mm耳機孔),1,9317446,import
【SK-II】致臻肌活能量活膚霜80g-全新改版(專櫃公司貨),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DDAD2O-A900HJ5X0,momo
【Kanebo 佳麗寶】KANEBO 輕爽全方位UV噴霧 30mL(大K*),買防曬噴霧送防曬乳,1,DDCX04-A900H0L4L,momo
【KOSE 高絲】無限肌緻植淬整肌精華油40ml(專櫃公司貨),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DDAD0D-A900BTLSJ,momo
【philosophy 肌膚哲理】純淨清爽3合1洗面乳472ml,無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DDADKO-A900BFOUG,momo
【APIVITA】仙人掌滋潤面膜 8mlX12 盒裝(百貨公司貨),仙人掌滋潤面膜(8mlX12),1,DDADNN-A900H32LR,momo
【小米】官方旗艦館 Xiaomi 小米手環 9 NFC,ProStaff P3 10x42雙筒望遠鏡,0,DYAIAO-A900HW5QK,momo
【Panasonic 國際牌】台灣製578L新一級能源效率三門鋼板冰箱(NR-C582TV-K),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DPAC1T-A900BRTY5,momo
【Apple】iPhone 16 Plus(128G/6.7吋),iPhone 16 Plus (128G),1,DYAJLZ-A900HSWH1,momo
【Marshall】藍牙喇叭 公司貨(Acton III 奶油白),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DCBU05-A900FZAV0,momo
【SENNHEISER 森海塞爾】MKE 200 Mobile KIT 專業短槍型 指向性麥克風 套組(SH509256),MoveMic Two Receiver KIT 一對二無線領夾式麥克風套組,0,DGCF4W-A900C7WHY,momo
【Hermes 愛馬仕】DOrange Verte 橘綠之泉香皂 50g 附皂盒(平行輸入),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DSBE3I-A900HJYBT,momo
【Keola】經典手工雪Q餅 原味/麻辣花生/芒果/花生/可可  180克/包(任選6包),【Keola】經典手工雪Q餅(原味/麻辣花生/芒果/花生/可可)(180克)任選6包,1,DBDA01-A900G8V86,import
【伊麗莎白雅頓】官方直營 HA白金澎潤保濕膠囊 30顆 Elizabeth Arden(保濕/玻尿酸/精華),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DDADO9-A900GRKWS,momo
Wiwu 車載音頻轉接線Usb To 3.5Mm Yp04,Promate Usb Type C To 3.5Mm 音源轉接頭(AuxlinkC),0,9223015,import
【Gigabyte 技嘉】Geforce Rtx 4070 Ti Gaming Oc 12G(GvN407Tgaming Oc12Gd),技嘉 Geforce Rtx 4070 Ti Gaming Oc 12G 顯示卡,1,DRADL2-A900FXPI8,import
倍潔雅 抽取式衛生紙(150抽X14包X6袋/箱),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,6780070,import
倍潔雅 抽取式衛生紙(100抽14包/袋),【週期購】倍潔雅柔軟舒適抽取式衛生紙(150抽56包/箱),1,8439204,import
【Marshall】ACTON III 家用式藍牙喇叭(經典黑),Acton III 藍牙喇叭 - 奶油白,0,DCBU08-A900FY32J,momo
【HR 赫蓮娜】官方直營 植萃綠寶修護精華50ML(綠寶瓶/痘痘修護),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DDADN3-A900HAUUT,momo
倍潔雅 抽取式衛生紙(150抽X10包X6串/箱),【倍潔雅】柔軟舒適抽取式衛生紙(100抽80包/箱),1,6780070,import
